technique,accuracy,dp_diff,eo_diff
Baseline (no mitigation),0.8538865761277554,0.16840230006524703,0.0836743704413141
Reweighing (pre-processing),0.8447416911212721,0.07959558438721887,0.14068630362723056
ExponentiatedGradient (in-processing),0.8336176892104006,0.008351427385075133,0.2695245402811619
ThresholdOptimizer (post-processing),0.8311608544325394,0.008095517088863996,0.33359460970515165
