technique,accuracy,dp_diff,eo_diff
Baseline (no mitigation),0.8538865761277554,0.16396081887201736,0.24013217454282093
Reweighing (pre-processing),0.8536135944857708,0.14660723969631237,0.23569617961252937
ExponentiatedGradient (in-processing),0.8220842148365523,0.0359017888019114,0.08181357649442755
ThresholdOptimizer (post-processing),0.8469255442571487,0.09744296860000351,0.3614548181477315
