technique,accuracy,dp_diff,dp_ci_lower,dp_ci_upper,eo_diff,eo_ci_lower,eo_ci_upper
Baseline,0.8538865761277554,0.16840230006524703,0.15743553117861905,0.18000686597816845,0.0836743704413141,0.06580861488198173,0.1302359169019139
Reweighing,0.8447416911212721,0.07959558438721887,0.06773663199967817,0.09251214545793758,0.14068630362723056,0.09685362765915038,0.18146906048608882
