technique,accuracy,dp_diff,dp_ci_lower,dp_ci_upper,eo_diff,eo_ci_lower,eo_ci_upper
Baseline,0.8538865761277554,0.16396081887201736,0.12098070301712538,0.21555181070767104,0.24013217454282093,0.14273136173930312,0.5015659109043551
Reweighing,0.8536135944857708,0.14660723969631237,0.11242154457263777,0.19908424912943418,0.23569617961252937,0.14143530231609003,0.49705511645062667
